 RAINS-DIS_HR_HPC-MV_FINAL        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Part Pins List          0/2747 Selected Parts             10-Jan-2011 9:00
                                                           INCH units

Part        T/B
Pin   Name      X         Y     Layer  Net               Nail(s)

Part CN2    (T)

   2    2     0.169    -3.421     1    TMDS_CLK1N        277

Part C589   (T)

   1    1     0.115    -3.261     1    TMDS_DATA1_C      269
   2    2     0.134    -3.261     1    TMDS_TX1P         274

Part C590   (T)

   1    1     0.667    -1.755     1    VSYNC14_R         230
   2    2     0.667    -1.790     1    GND               1

Part C591   (T)

   1    1     0.150    -3.386     1    TMDS_CLK_C        267
   2    2     0.169    -3.386     1    TMDS_CLK1P        276

Part C592   (T)

   1    1     0.155    -3.171     1    TMDS_DATA2#_C     270
   2    2     0.174    -3.171     1    TMDS_TX2N         273

Part C593   (T)

   1    1    -8.837    -0.350     1    SATA_TXN3         124
   2    2    -8.802    -0.350     1    SATA_TXN3_C       1120

Part C594   (T)

   1    1     0.665    -1.647     1    HSYNC13_R         228
   2    2     0.665    -1.682     1    GND               1

Part C595   (T)

   1    1     0.155    -3.136     1    TMDS_DATA2_C      271
   2    2     0.174    -3.136     1    TMDS_TX2P         272

Part C596   (T)

   1    1     0.115    -3.516     1    TMDS_DATA0_C      263
   2    2     0.134    -3.516     1    TMDS_TX0P         278

Part C597   (T)

   1    1    -8.837    -0.310     1    SATA_TXP3         123
   2    2    -8.802    -0.310     1    SATA_TXP3_C       1121

Part C598   (T)

   1    1     0.115    -3.551     1    TMDS_DATA0#_C     264
   2    2     0.134    -3.551     1    TMDS_TX0N         262

Part C599   (B)

   1    1     0.523    -1.567     2    IGPU_B            378
   2    2     0.523    -1.602     2    GND               1

Part C600   (B)

   1    1     0.666    -1.568     2    J_BLUE            227
   2    2     0.666    -1.603     2    GND               1

Part C601   (B)

   1    1     0.521    -1.487     2    IGPU_G            377
   2    2     0.521    -1.522     2    GND               1

Part C602   (T)

   1    1    -0.434    -1.989     1    +V5S_PCH_VCC5REF  318
   2    2    -0.398    -1.989     1    GND               1

Part C603   (B)

   1    1     0.665    -1.488     2    J_GREEN           226
   2    2     0.665    -1.523     2    GND               1

Part C604   (B)

   1    1     0.524    -1.405     2    IGPU_R            376
   2    2     0.524    -1.440     2    GND               1

Part C605   (T)

   1    1     0.670    -1.862     1    D_SHIFT_+5VRUN    231
   2    2     0.670    -1.897     1    GND               1

Part C606   (B)

   1    1     0.666    -1.405     2    J_RED             225
   2    2     0.666    -1.440     2    GND               1

Part C607   (T)

   1    1    -0.839    -1.087     1    GND               1
   2    2    -0.839    -1.052     1    +1_05V_5V_8V_RUN  430

Part C608   (T)

   1    1    -1.447    -0.276     1    +3VRUN            19
   2    2    -1.447    -0.311     1    GND               1

Part C609   (B)

   1    1    -5.580    -1.145     2    +GFXCORE          33
   2    2    -5.515    -1.145     2    GND               1

Part C610   (T)

   1    1    -0.418    -1.894     1    +V3.3S_VCC_CLKF33  319
   2    2    -0.472    -1.894     1    GND               1

Part C611   (T)

   1    1    -1.539    -2.189     1    +3VRUN_PCH        435
   2    2    -1.504    -2.189     1    GND               1

Part C612   (B)

   1    1    -0.185    -2.844     2    N38861478         1430
   2    2    -0.220    -2.844     2    GND               1

Part C613   (T)

   1    1    -2.266    -3.789     1    N18183895         510
   2    2    -2.266    -3.736     1    GND               1

Part C614   (T)

   1    1    -2.186    -3.753     1    N18183895         510
   2    2    -2.186    -3.735     1    GND               1

Part C615   (T)

   1    1    -2.222    -3.771     1    N18183895         510
   2    2    -2.222    -3.736     1    GND               1

Part C616   (B)

   1    1    -5.359    -1.548     2    +1.05VRUN         30
   2    2    -5.359    -1.483     2    GND               1

Part C617   (B)

   1    1    -5.225    -1.547     2    +1.05VRUN         30
   2    2    -5.225    -1.483     2    GND               1

Part C619   (B)

   1    1    -5.156    -1.548     2    +1.05VRUN         30
   2    2    -5.156    -1.483     2    GND               1

Part C620   (B)

   1    1    -6.315    -1.497     2    +GFXCORE          33
   2    2    -6.315    -1.562     2    GND               1

Part C621   (B)

   1    1    -5.580    -1.495     2    +GFXCORE          33
   2    2    -5.515    -1.495     2    GND               1

Part C622   (B)

   1    1    -0.221    -4.071     2    +1.5VRUNVGA       484
   2    2    -0.186    -4.071     2    VREFD2_A1         1413

Part C623   (T)

   1    1   -10.775    -1.263     1    N61841109         1174
   2    2   -10.775    -1.298     1    A_GND             1152

Part C624   (B)

   1    1    -6.245    -1.442     2    +GFXCORE          33
   2    2    -6.245    -1.377     2    GND               1

Part C625   (B)

   1    1    -5.580    -1.355     2    +GFXCORE          33
   2    2    -5.515    -1.355     2    GND               1

Part C626   (T)

   1    1   -10.452    -1.080     1    N81151874         1154
   2    2   -10.487    -1.080     1    HDA_CODEC_BITCLK_R  1736

Part C627   (B)

   1    1    -0.514    -4.316     2    GND               1
   2    2    -0.514    -4.281     2    VREFD1_A1         1516

Part C629   (T)

   1    1    -5.000    -1.162     1    +V0.85S_VCCUSA    695
   2    2    -5.000    -1.227     1    GND               1

Part C630   (T)

   1    1   -10.866    -1.305     1    A_GND             1152
   2    2   -10.866    -1.252     1    N61841042         1175

Part C631   (T)

   1    1   -10.812    -0.831     1    N61841163         1184
   2    2   -10.812    -0.796     1    A_GND             1152

Part C632   (B)

   1    1    -0.596    -4.316     2    +1.5VRUNVGA       484
   2    2    -0.596    -4.281     2    VREFD1_A1         1516

Part C633   (T)

   1    1     0.170    -3.607     1    HDMI_+5VRUN       1418
   2    2     0.205    -3.607     1    GND               1

Part C634   (B)

   1    1    -1.995    -2.425     2    PEG_TXP0          
   2    2    -1.995    -2.444     2    PEG_RXP_C0        1229

Part C635   (T)

   1    1   -10.582    -1.268     1    N61841109         1174
   2    2   -10.582    -1.333     1    A_GND             1152

Part C636   (B)

   1    1    -1.955    -2.425     2    PEG_TXN0          
   2    2    -1.955    -2.444     2    PEG_RXN_C0        1232

Part C637   (T)

   1    1   -10.925    -1.131     1    N61841038         1180
   2    2   -10.978    -1.131     1    A_GND             1152

Part C638   (B)

   1    1    -1.942    -2.360     2    PEG_TXP1          
   2    2    -1.942    -2.379     2    PEG_RXP_C1        1230

Part C639   (B)

   1    1    -0.207    -5.036     2    GND               1
   2    2    -0.172    -5.036     2    N18187558         1381

Part C640   (B)

   1    1    -1.902    -2.360     2    PEG_TXN1          
   2    2    -1.902    -2.379     2    PEG_RXN_C1        1231

Part C642   (B)

   1    1    -0.213    -4.770     2    GND               1
   2    2    -0.177    -4.770     2    DV12              1383

Part C643   (B)

   1    1    -1.829    -2.358     2    PEG_TXP3          1500
   2    2    -1.829    -2.377     2    PEG_RXP_C3        1219

Part C644   (B)

   1    1    -1.879    -2.433     2    PEG_TXP2          1558
   2    2    -1.879    -2.452     2    PEG_RXP_C2        1225

Part C645   (B)

   1    1    -1.838    -2.433     2    PEG_TXN2          1501
   2    2    -1.838    -2.452     2    PEG_RXN_C2        1226

Part C646   (B)

   1    1    -1.789    -2.358     2    PEG_TXN3          1497
   2    2    -1.789    -2.377     2    PEG_RXN_C3        1220

Part C647   (B)

   1    1    -1.657    -2.358     2    PEG_TXN5          
   2    2    -1.657    -2.377     2    PEG_RXN_C5        1223

Part C648   (B)

   1    1    -1.697    -2.358     2    PEG_TXP5          1495
   2    2    -1.697    -2.377     2    PEG_RXP_C5        1224

Part C649   (B)

   1    1    -1.723    -2.427     2    PEG_TXN4          1496
   2    2    -1.723    -2.446     2    PEG_RXN_C4        1228

Part C650   (B)

   1    1    -1.763    -2.427     2    PEG_TXP4          1502
   2    2    -1.763    -2.446     2    PEG_RXP_C4        1227

Part C651   (B)

   1    1    -1.121    -4.977     2    +1.5VRUNVGA       484
   2    2    -1.121    -4.924     2    GND               1

Part C652   (B)

   1    1    -1.537    -2.363     2    PEG_TXN7          1493
   2    2    -1.537    -2.382     2    PEG_RXN_C7        1217

Part C653   (B)

   1    1    -1.642    -2.431     2    PEG_TXP6          1499
   2    2    -1.642    -2.450     2    PEG_RXP_C6        1221

Part C654   (B)

   1    1    -1.602    -2.431     2    PEG_TXN6          1498
   2    2    -1.602    -2.450     2    PEG_RXN_C6        1222

Part C655   (B)

   1    1    -1.577    -2.363     2    PEG_TXP7          1494
   2    2    -1.577    -2.382     2    PEG_RXP_C7        1218

Part C656   (T)

   1    1    -5.987    -3.666     1    +5VRUN            9
   2    2    -5.987    -3.601     1    GND               1

Part C657   (T)

   1    1    -6.121    -3.670     1    +5VRUN            9
   2    2    -6.121    -3.635     1    GND               1

Part C658   (T)

   1    1    -6.081    -3.670     1    +5VRUN            9
   2    2    -6.081    -3.635     1    GND               1

Part C659   (T)

   1    1    -6.041    -3.670     1    +5VRUN            9
   2    2    -6.041    -3.635     1    GND               1

Part C660   (B)

   1    1    -0.213    -4.850     2    CR_RXP8           237
   2    2    -0.177    -4.850     2    CR_RXP8_C         

Part C661   (B)

   1    1    -0.213    -4.810     2    CR_RXN8           393
   2    2    -0.177    -4.810     2    CR_RXN8_C         

Part C662   (B)

   1    1    -0.177    -4.730     2    N18187811         1386
   2    2    -0.213    -4.730     2    GND               1

Part C663   (B)

   1    1     0.263    -4.740     2    DV12_S            1399
   2    2     0.298    -4.740     2    GND               1

Part C664   (B)

   1    1    -0.053    -4.688     2    DV33_18           1387
   2    2    -0.018    -4.688     2    GND               1

Part C665   (B)

   1    1    -2.501    -2.859     2    GND               1
   2    2    -2.501    -2.894     2    X2                1549

Part C666   (B)

   1    1    -2.707    -2.845     2    GND               1
   2    2    -2.707    -2.810     2    X1                1564

Part C667   (T)

   1    1    -2.139    -3.026     1    DPEF_VDD10        493
   2    2    -2.139    -3.007     1    GND               1

Part C668   (B)

   1    1    -1.881    -2.748     2    PCIE_VDDR         1557
   2    2    -1.846    -2.748     2    GND               1

Part C669   (T)

   1    1    -5.083    -1.413     1    +VCORE            32
   2    2    -5.018    -1.413     1    GND               1

Part C670   (B)

   1    1    -0.266    -4.314     2    GND               1
   2    2    -0.266    -4.279     2    VREFC_A1          1412

Part C671   (T)

   1    1    -5.131    -1.277     1    +VCORE            32
   2    2    -5.196    -1.277     1    GND               1

Part C673   (B)

   1    1    -5.387    -1.145     2    +VCORE            32
   2    2    -5.452    -1.145     2    GND               1

Part C674   (B)

   1    1    -0.347    -4.314     2    +1.5VRUNVGA       484
   2    2    -0.347    -4.279     2    VREFC_A1          1412

Part C675   (T)

   1    1    -0.652    -4.313     1    GND               1
   2    2    -0.652    -4.278     1    VREFD2_MA1        250

Part C676   (T)

   1    1    -2.011    -3.139     1    N17676639         523
   2    2    -2.046    -3.139     1    GND               1

Part C678   (B)

   1    1    -1.892    -2.706     2    PCIE_VDDR         1557
   2    2    -1.839    -2.706     2    GND               1

Part C679   (B)

   1    1    -0.168    -4.685     2    N18187811         1386
   2    2    -0.222    -4.685     2    GND               1

Part C681   (B)

   1    1    -5.132    -1.285     2    +VCORE            32
   2    2    -5.197    -1.285     2    GND               1

Part C682   (T)

   1    1    -1.791    -3.088     1    N17676639         523
   2    2    -1.791    -3.035     1    GND               1

Part C683   (B)

   1    1    -5.387    -1.425     2    +VCORE            32
   2    2    -5.452    -1.425     2    GND               1

Part C685   (B)

   1    1    -5.387    -1.285     2    +VCORE            32
   2    2    -5.452    -1.285     2    GND               1

Part C686   (B)

   1    1    -5.324    -1.285     2    +VCORE            32
   2    2    -5.259    -1.285     2    GND               1

Part C687   (B)

   1    1    -5.387    -1.215     2    +VCORE            32
   2    2    -5.452    -1.215     2    GND               1

Part C688   (T)

   1    1    -2.533    -3.056     1    DPEF_VDD10        493
   2    2    -2.586    -3.056     1    GND               1

Part C689   (T)

   1    1    -0.572    -4.314     1    +1.5VRUNVGA       484
   2    2    -0.572    -4.279     1    VREFD2_MA1        250

Part C690   (T)

   1    1   -10.071    -1.247     1    GND               1
   2    2   -10.071    -1.282     1    A_GND             1152

Part C691   (T)

   1    1   -10.494    -0.750     1    +AVDD             17
   2    2   -10.441    -0.750     1    A_GND             1152

Part C692   (T)

   1    1   -10.547    -1.213     1    N63935520         1737
   2    2   -10.482    -1.213     1    GND               1

Part C695   (T)

   1    1    -5.405    -1.417     1    +VCORE            32
   2    2    -5.440    -1.417     1    GND               1

Part C696   (T)

   1    1   -10.989    -1.199     1    N61465858         1179
   2    2   -10.924    -1.199     1    N61465860         1176

Part C697   (T)

   1    1   -10.314    -0.938     1    N31240683         1151
   2    2   -10.314    -0.903     1    A_GND             1152

Part C698   (B)

   1    1    -1.868    -2.784     2    PCIE_VDDR         1557
   2    2    -1.849    -2.784     2    GND               1

Part C700   (T)

   1    1   -10.001    -1.088     1    +5VRUN            9
   2    2    -9.966    -1.088     1    GND               1

Part C701   (T)

   1    1   -10.272    -0.938     1    GND               1
   2    2   -10.272    -0.903     1    A_GND             1152

Part C702   (T)

   1    1   -10.390    -1.120     1    +3VRUN            19
   2    2   -10.390    -1.155     1    GND               1

Part C703   (T)

   1    1   -10.977    -0.745     1    GND               1
   2    2   -10.942    -0.745     1    A_GND             1152

Part C704   (T)

   1    1   -10.464    -0.923     1    +3VRUN            19
   2    2   -10.464    -0.958     1    GND               1

Part C705   (T)

   1    1    -4.940    -1.163     1    +V0.85S_VCCUSA    695
   2    2    -4.940    -1.216     1    GND               1

Part C706   (T)

   1    1    -2.015    -3.104     1    N17676639         523
   2    2    -2.015    -3.085     1    GND               1

Part C707   (T)

   1    1   -10.595    -1.658     1    GND               1
   2    2   -10.595    -1.623     1    A_GND             1152

Part C708   (T)

   1    1   -11.424    -1.061     1    GND               1
   2    2   -11.389    -1.061     1    A_GND             1152

Part C709   (T)

   1    1   -10.128    -0.713     1    GND               1
   2    2   -10.163    -0.713     1    A_GND             1152

Part C713   (T)

   1    1   -10.640    -1.622     1    +3V_CAM           23
   2    2   -10.640    -1.657     1    GND               1

Part C715   (T)

   1    1   -10.870    -1.655     1    N39230337         1173
   2    2   -10.870    -1.690     1    N39230353         1172

Part C717   (T)

   1    1    -1.232    -0.751     1    DMIC_DAT_L        407
   2    2    -1.232    -0.732     1    GND               1

Part C718   (T)

   1    1    -1.685    -4.625     1    +1.5VRUNVGA       484
   2    2    -1.738    -4.625     1    GND               1

Part C719   (T)

   1    1    -5.967    -3.830     1    SATA_RXP0         
   2    2    -6.003    -3.830     1    SATA_RXP0_C_C     990

Part C720   (T)

   1    1    -5.967    -3.870     1    SATA_RXN0         
   2    2    -6.003    -3.870     1    SATA_RXN0_C_C     991

Part C724   (B)

   1    1    -3.779    -1.705     2    +3VRUN            19
   2    2    -3.832    -1.705     2    GND               1

Part C725   (B)

   1    1    -3.779    -1.655     2    +3VRUN            19
   2    2    -3.832    -1.655     2    GND               1

Part C727   (T)

   1    1   -10.532    -1.307     1    A_SD#             1165
   2    2   -10.497    -1.307     1    GND               1

Part C729   (T)

   1    1    -0.095    -3.843     1    GND               1
   2    2    -0.095    -3.878     1    VREFD1_MA1        257

Part C730   (B)

   1    1    -0.137    -3.969     2    +1.5VRUNVGA       484
   2    2    -0.137    -3.934     2    VREFD1_MA1        257

Part C731   (T)

   1    1    -1.345    -0.751     1    DMIC_CLK_L        408
   2    2    -1.345    -0.732     1    GND               1

Part C732   (T)

   1    1   -10.682    -1.621     1    +3V_CAM           23
   2    2   -10.682    -1.656     1    GND               1

Part C733   (T)

   1    1    -0.329    -4.311     1    GND               1
   2    2    -0.329    -4.276     1    VREFC_MA1         255

Part C734   (B)

   1    1    -0.473    -4.546     2    VDD               13
   2    2    -0.508    -4.546     2    GND               1

Part C735   (B)

   1    1    -0.473    -4.626     2    VDD1              1522
   2    2    -0.508    -4.626     2    GND               1

Part C736   (T)

   1    1    -1.200    -1.444     1    SATA_TXP0         109
   2    2    -1.235    -1.444     1    SATA_TXP0_C       993

Part C737   (B)

   1    1    -0.346    -4.877     2    VDD               13
   2    2    -0.399    -4.877     2    GND               1

Part C738   (T)

   1    1    -2.343    -3.031     1    DPAB_VDD10        491
   2    2    -2.362    -3.031     1    GND               1

Part C739   (T)

   1    1    -1.200    -1.403     1    SATA_TXN0         108
   2    2    -1.235    -1.403     1    SATA_TXN0_C       992

Part C740   (T)

   1    1    -0.409    -4.312     1    +1.5VRUNVGA       484
   2    2    -0.409    -4.277     1    VREFC_MA1         255

Part C743   (B)

   1    1    -3.168    -1.931     2    +3VRUN            19
   2    2    -3.203    -1.931     2    GND               1

Part C744   (T)

   1    1    -3.621    -3.868     1    PS_S3CNTRL_1.5S   614
   2    2    -3.621    -3.903     1    GND               1

Part C745   (B)

   1    1    -0.321    -4.727     2    N61703130         1385
   2    2    -0.374    -4.727     2    GND               1

Part C746   (T)

   1    1    -0.385    -4.853     1    EVDD1             235
   2    2    -0.385    -4.888     1    GND               1

Part C747   (T)

   1    1    -0.223    -3.108     1    +1.5VRUNVGA       484
   2    2    -0.188    -3.108     1    GND               1

Part C748   (T)

   1    1    -3.621    -4.922     1    +3VRUN            19
   2    2    -3.656    -4.922     1    GND               1

Part C749   (T)

   1    1    -5.438    -3.633     1    +3VRUN            19
   2    2    -5.473    -3.633     1    GND               1

Part C750   (T)

   1    1     0.060    -3.048     1    GND_CHASSIS_LAN   285
   2    2     0.060    -3.101     1    GND               1

Part C751   (B)

   1    1    -0.632    -4.765     2    VDD1              1522
   2    2    -0.668    -4.765     2    GND               1

Part C752   (T)

   1    1    -5.536    -3.675     1    +3VRUN            19
   2    2    -5.536    -3.640     1    GND               1

Part C753   (B)

   1    1    -5.373    -3.758     2    GPU_THERM         1537
   2    2    -5.408    -3.758     2    GND               1

Part C754   (T)

   1    1    -0.466    -4.833     1    EVDD1             235
   2    2    -0.466    -4.868     1    GND               1

Part C755   (B)

   1    1    -0.410    -4.638     2    VDD1              1522
   2    2    -0.410    -4.603     2    GND               1

Part C756   (T)

   1    1    -0.425    -4.853     1    EVDD1             235
   2    2    -0.425    -4.888     1    GND               1

Part C757   (B)

   1    1    -0.433    -4.783     2    AVDD33_REG        1519
   2    2    -0.398    -4.783     2    GND               1

Part C758   (B)

   1    1    -0.400    -4.828     2    GND               1
   2    2    -0.453    -4.828     2    AVDD33_REG        1519

Part C760   (T)

   1    1    -0.782    -4.790     1    LAN_RXN6_C        
   2    2    -0.818    -4.790     1    LAN_RXN6          120

Part C761   (B)

   1    1    -0.708    -4.575     2    VDD1              1522
   2    2    -0.673    -4.575     2    GND               1

Part C763   (T)

   1    1     0.180    -2.851     1    N61703448         308
   2    2     0.180    -3.031     1    GND_CHASSIS_LAN   285

Part C764   (B)

   1    1    -0.708    -4.615     2    VDD1              1522
   2    2    -0.673    -4.615     2    GND               1

Part C765   (B)

   1    1    -0.228    -3.072     2    +1.5VRUNVGA       484
   2    2    -0.209    -3.072     2    GND               1

Part C766   (B)

   1    1    -0.230    -3.225     2    +1.5VRUNVGA       484
   2    2    -0.211    -3.225     2    GND               1

Part C767   (T)

   1    1    -0.230    -3.225     1    +1.5VRUNVGA       484
   2    2    -0.211    -3.225     1    GND               1

Part C768   (T)

   1    1    -0.228    -3.072     1    +1.5VRUNVGA       484
   2    2    -0.209    -3.072     1    GND               1

Part C769   (B)

   1    1    -0.228    -3.042     2    +1.5VRUNVGA       484
   2    2    -0.209    -3.042     2    GND               1

Part C770   (T)

   1    1    -2.537    -4.748     1    +1.5VRUNVGA       484
   2    2    -2.537    -4.695     1    GND               1

Part C771   (B)

   1    1    -0.215    -3.149     2    +1.5VRUNVGA       484
   2    2    -0.196    -3.149     2    GND               1

Part C772   (B)

   1    1    -0.229    -3.343     2    +1.5VRUNVGA       484
   2    2    -0.210    -3.343     2    GND               1

Part C776   (B)

   1    1    -0.223    -3.108     2    +1.5VRUNVGA       484
   2    2    -0.188    -3.108     2    GND               1

Part C777   (T)

   1    1    -0.223    -3.260     1    +1.5VRUNVGA       484
   2    2    -0.188    -3.260     1    GND               1

Part C778   (B)

   1    1    -0.223    -3.260     2    +1.5VRUNVGA       484
   2    2    -0.188    -3.260     2    GND               1

Part C779   (T)

   1    1    -0.223    -3.189     1    +1.5VRUNVGA       484
   2    2    -0.188    -3.189     1    GND               1

Part C780   (B)

   1    1    -0.223    -3.379     2    +1.5VRUNVGA       484
   2    2    -0.188    -3.379     2    GND               1

Part C781   (T)

   1    1    -1.026    -0.881     1    +1.05VRUN         30
   2    2    -0.990    -0.881     1    +3VALW            20

Part C782   (B)

   1    1    -0.223    -3.189     2    +1.5VRUNVGA       484
   2    2    -0.188    -3.189     2    GND               1

Part C783   (T)

   1    1    -4.773    -3.761     1    32KXCLKO_R        771
   2    2    -4.808    -3.761     1    GND               1

Part C784   (T)

   1    1     0.183    -1.360     1    +5VALW            12
   2    2     0.148    -1.360     1    +3VALW            20

Part C785   (T)

   1    1    -0.009    -3.562     1    +5VALW            12
   2    2    -0.044    -3.562     1    +3VRUN            19

Part C786   (T)

   1    1     0.063    -1.632     1    +1.05VRUN         30
   2    2     0.098    -1.632     1    +3VALW            20

Part C787   (T)

   1    1    -1.532    -1.059     1    +1.05VRUN         30
   2    2    -1.567    -1.059     1    +3VRUN            19

Part C788   (T)

   1    1    -3.980    -1.158     1    +1.05VRUN         30
   2    2    -3.980    -1.193     1    +5VRUN            9

Part C789   (T)

   1    1    -4.315    -1.386     1    +VCORE            32
   2    2    -4.280    -1.386     1    +5VRUN            9

Part C790   (T)

   1    1    -0.364    -3.484     1    +1.5VRUNVGA       484
   2    2    -0.364    -3.503     1    GND               1

Part C791   (B)

   1    1    -0.544    -3.484     2    +1.5VRUNVGA       484
   2    2    -0.544    -3.503     2    GND               1

Part C792   (T)

   1    1    -0.469    -3.484     1    +1.5VRUNVGA       484
   2    2    -0.469    -3.503     1    GND               1

Part C793   (T)

   1    1    -1.311    -0.343     1    +1.05VRUN         30
   2    2    -1.311    -0.308     1    +3VALW            20

Part C794   (B)

   1    1    -0.399    -3.486     2    +1.5VRUNVGA       484
   2    2    -0.399    -3.521     2    GND               1

Part C795   (T)

   1    1    -2.715    -0.376     1    +1.05VRUN         30
   2    2    -2.715    -0.341     1    +3VALW            20

Part C796   (T)

   1    1    -2.489    -4.747     1    +1.5VRUNVGA       484
   2    2    -2.489    -4.694     1    GND               1

Part C797   (T)

   1    1    -8.406    -0.039     1    +5VALW            12
   2    2    -8.441    -0.039     1    +3VALW            20

Part C800   (B)

   1    1    -0.504    -3.486     2    +1.5VRUNVGA       484
   2    2    -0.504    -3.521     2    GND               1

Part C801   (T)

   1    1    -0.504    -3.486     1    +1.5VRUNVGA       484
   2    2    -0.504    -3.521     1    GND               1

Part C802   (B)

   1    1    -0.364    -3.484     2    +1.5VRUNVGA       484
   2    2    -0.364    -3.503     2    GND               1

Part C803   (B)

   1    1    -0.439    -3.484     2    +1.5VRUNVGA       484
   2    2    -0.439    -3.503     2    GND               1

Part C806   (B)

   1    1    -0.579    -3.486     2    +1.5VRUNVGA       484
   2    2    -0.579    -3.521     2    GND               1

Part C811   (T)

   1    1    -0.439    -3.484     1    +1.5VRUNVGA       484
   2    2    -0.439    -3.503     1    GND               1

Part C812   (T)

   1    1    -0.544    -3.484     1    +1.5VRUNVGA       484
   2    2    -0.544    -3.503     1    GND               1

Part C813   (T)

   1    1    -0.399    -3.486     1    +1.5VRUNVGA       484
   2    2    -0.399    -3.521     1    GND               1

Part C814   (T)

   1    1    -0.622    -3.494     1    +1.5VRUNVGA       484
   2    2    -0.622    -3.513     1    GND               1

Part C815   (T)

   1    1    -0.663    -3.486     1    +1.5VRUNVGA       484
   2    2    -0.663    -3.521     1    GND               1

Part C816   (B)

   1    1    -0.663    -3.486     2    +1.5VRUNVGA       484
   2    2    -0.663    -3.521     2    GND               1

Part C817   (B)

   1    1    -0.223    -4.106     2    +1.5VRUNVGA       484
   2    2    -0.204    -4.106     2    GND               1

Part C818   (T)

   1    1    -0.608    -3.610     1    +1.5VRUNVGA       484
   2    2    -0.608    -3.591     1    GND               1

Part C819   (T)

   1    1    -0.217    -3.716     1    +1.5VRUNVGA       484
   2    2    -0.198    -3.716     1    GND               1

Part C824   (B)

   1    1    -0.216    -3.796     2    +1.5VRUNVGA       484
   2    2    -0.181    -3.796     2    GND               1

Part C831   (B)

   1    1    -0.114    -4.012     2    +1.5VRUNVGA       484
   2    2    -0.095    -4.012     2    GND               1

Part C832   (B)

   1    1    -0.216    -3.683     2    +1.5VRUNVGA       484
   2    2    -0.197    -3.683     2    GND               1

Part C833   (B)

   1    1    -0.220    -3.719     2    +1.5VRUNVGA       484
   2    2    -0.185    -3.719     2    GND               1

Part C839   (T)

   1    1    -0.644    -3.603     1    +1.5VRUNVGA       484
   2    2    -0.644    -3.568     1    GND               1

Part C844   (B)

   1    1    -0.218    -3.836     2    +1.5VRUNVGA       484
   2    2    -0.199    -3.836     2    GND               1

Part C845   (B)

   1    1    -0.216    -3.756     2    +1.5VRUNVGA       484
   2    2    -0.197    -3.756     2    GND               1

Part C846   (T)

   1    1    -0.220    -3.681     1    +1.5VRUNVGA       484
   2    2    -0.185    -3.681     1    GND               1

Part C847   (T)

   1    1    -0.218    -3.837     1    +1.5VRUNVGA       484
   2    2    -0.199    -3.837     1    GND               1

Part C848   (B)

   1    1    -0.219    -3.875     2    +1.5VRUNVGA       484
   2    2    -0.184    -3.875     2    GND               1

Part C849   (T)

   1    1    -0.221    -3.753     1    +1.5VRUNVGA       484
   2    2    -0.186    -3.753     1    GND               1

Part C850   (B)

   1    1    -0.501    -3.595     2    +1.5VRUNVGA       484
   2    2    -0.501    -3.576     2    GND               1

Part C851   (T)

   1    1    -0.225    -3.908     1    +1.5VRUNVGA       484
   2    2    -0.206    -3.908     1    GND               1

Part C852   (T)

   1    1    -0.578    -3.610     1    +1.5VRUNVGA       484
   2    2    -0.578    -3.591     1    GND               1

Part C853   (B)

   1    1    -0.461    -3.604     2    +1.5VRUNVGA       484
   2    2    -0.461    -3.569     2    GND               1

Part C854   (B)

   1    1    -0.542    -3.603     2    +1.5VRUNVGA       484
   2    2    -0.542    -3.568     2    GND               1

Part C855   (B)

   1    1    -1.810    -4.452     2    +1.5VRUNVGA       484
   2    2    -1.775    -4.452     2    GND               1

Part C856   (T)

   1    1    -1.687    -4.845     1    +1.5VRUNVGA       484
   2    2    -1.722    -4.845     1    GND               1

Part C857   (T)

   1    1    -1.687    -4.805     1    +1.5VRUNVGA       484
   2    2    -1.722    -4.805     1    GND               1

Part C858   (B)

   1    1    -0.608    -3.610     2    +1.5VRUNVGA       484
   2    2    -0.608    -3.591     2    GND               1

Part C859   (T)

   1    1    -1.807    -4.770     1    +1.5VRUNVGA       484
   2    2    -1.772    -4.770     1    GND               1

Part C860   (B)

   1    1    -0.644    -3.603     2    +1.5VRUNVGA       484
   2    2    -0.644    -3.568     2    GND               1

Part C861   (B)

   1    1    -0.389    -3.604     2    +1.5VRUNVGA       484
   2    2    -0.389    -3.569     2    GND               1

Part C862   (T)

   1    1    -0.686    -3.603     1    +1.5VRUNVGA       484
